NCO_2015_Code,NCO_2004_Code,NCO_Job_Title,ONET_Code,ONET_Job_Title,Match_Score,LM_AIOE_Raw,AI_Automatability,AI_Exposure_Category,Match_Type
1111.01,1111.1,"Elected Official, Union Government",11-1031.00,Legislators,95,1.309,83.67724867724867,High,version_map
1111.02,1112.1,"Elected Official, State Government",11-1031.00,Legislators,95,1.309,83.67724867724867,High,version_map
1111.03,1113.1,"Elected Official, Local Bodies",11-1031.00,Legislators,95,1.309,83.67724867724867,High,version_map
1111.99,1119.9,"Legislators, Other",11-1031.00,Legislators,95,1.309,83.67724867724867,High,version_map
1112.01,1121.1,"Administrative Official, Union Government",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.02,1121.2,Diplomat,11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.03,1121.3,"Executive Officials, Union Government",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.04,1122.1,"Administrative Official, State Government",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.05,1122.2,"Executive Official, State Government",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.06,1123.1,"Administrative and Executive Officials, Quasi",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.07,1123.2,"Administrative & Executive Officials, Quasi",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.08,1124.1,"Administrative and Executive Officials, Local",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1112.99,1129.9,"Senior Government Officials, Other",11-1011.00,Chief Executives,95,1.309,83.67724867724867,High,direct
1114.01,1141.1,Political Worker,11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1114.02,1142.0,"Senior Officials of Employers, Workers and Other",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1114.03,1143.1,"Director, Disaster Management Services",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1114.99,1143.9,"Senior Officials of Special Interest Organizations,",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.01,1211.1,"Working Proprietor, Electricity",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.02,1211.2,"Working Proprietor, Gas",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.03,1211.3,"Working Proprietor, Water Supply",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.04,1211.4,"Director, Electricity",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.05,1211.5,"Director, Gas",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.06,1211.6,"Director, Water Supply",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.07,1212.1,"Director, Bank",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.08,1212.2,"Director, Insurance",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.09,1213.1,"Working Proprietor, Mines/Proprietor, Mines",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.1,1213.2,"Working Proprietor, Quarry/Proprietor, Quarry",47-5041.00,Continuous Mining Machine Operators,95,-1.355,13.201058201058203,Low,direct
1120.11,1213.3,"Working Proprietor, Well Drilling/Proprietor,",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.12,1213.4,"Working Proprietor, Construction/Proprietor,",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.13,1213.5,"Director, Construction",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.14,1213.6,"Director, Mines",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.15,1213.7,"Director, Quarry",47-5041.00,Continuous Mining Machine Operators,95,-1.355,13.201058201058203,Low,direct
1120.16,1213.8,"Director, Well Drilling",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.17,1214.1,"Working Proprietor, Manufacturing/Proprietor,",51-9199.00,"Production Workers, All Other",95,-1.363,12.98941798941799,Low,direct
1120.18,1214.2,Director Manufacturing,51-9199.00,"Production Workers, All Other",95,-1.363,12.98941798941799,Low,direct
1120.19,1214.3,"Working Proprietor, Wholesale Trade/Proprietor,",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.2,1214.4,"Working Proprietor, Retail Trade/Proprietor,",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.21,1214.5,"Director, Wholesale Trade",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.22,1214.6,"Director, Retail Trade",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.23,1215.1,"Working Proprietor, Transport",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.24,1215.2,"Director, Transport",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.25,1215.3,"Director, Communication",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.26,1215.4,"Director, Airport",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.27,1216.1,"Working Proprietor, Storage and Warehousing",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.28,1216.2,"Director, Storage and Warehousing",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.29,1217.1,"Working Proprietor, Lodging and Catering",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.3,1217.2,"Director, Lodging and Catering Services/Director",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.31,1217.3,Executive Chef,35-1011.00,Chefs and Head Cooks,95,-0.172,44.4973544973545,Medium-Low,direct
1120.32,1218.1,"Working Proprietor, Recreation and",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.33,1218.2,"Director, Recreation and Entertainment",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.34,1218.3,"Station Director, Radio/TV",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.3401,,Account Director ( Advertising Agency),11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.3402,,Sales Director (Media Org),11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.35,1219.1,"Working Proprietor, Other Services",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.36,1219.2,"Director, Other Services",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.37,1219.3,"Director, Museum/Zoo",11-1011.00,Chief Executives,80,1.309,83.67724867724867,High,direct
1120.38,1219.4,Chief Librarian,25-4022.00,Librarians and Media Collections Specialists,95,0.978,74.92063492063491,Medium-High,version_map
1120.39,1219.5,"Principal, College",11-9033.00,"Education Administrators, Postsecondary",95,1.545,89.92063492063491,High,direct
