district_id,total_employment,total_wage_value,total_exposure_value,mean_automatability,State_UT_Code,District_Code,urban_pct,iceberg_index,surface_index,tech_employment,surprise_index,urban_iceberg_index,urban_employment,rural_iceberg_index,rural_employment,industry_hhi,concentration_tier,top_industry_nic,top_industry_share_pct,State_Name,District_Name
01_01,142953267,9029433167977.84,3501331076676.4805,29.753141646149164,1,1,77.43362831858407,38.78,0.0,,38.78,37.48,130262562.0,50.53,12690705.0,1602.0,moderate,85,30.7,JAMMU & KASHMIR,Kupwara
01_02,244518939,10836135202953.34,3756101319688.8364,29.869158536887984,1,2,80.60606060606061,34.66,45.92,502291.0,-11.26,34.23,225538500.0,37.89,18980439.0,915.0,distributed,47,19.7,JAMMU & KASHMIR,Badgam
01_05,206904968,10332318166193.295,3686742082518.5933,28.80794436138074,1,5,96.07843137254902,35.68,58.73,119339.0,-23.05,30.21,197716952.0,66.02,9188016.0,1281.0,distributed,85,24.1,JAMMU & KASHMIR,Punch
01_06,319515112,15118294204837.98,5871823876159.584,26.123874244922398,1,6,97.40259740259741,38.84,0.0,,38.84,35.94,311944607.0,63.03,7570505.0,1068.0,distributed,85,20.5,JAMMU & KASHMIR,Rajouri
01_07,225024423,15692586131849.475,7233044295955.926,28.858014265227677,1,7,86.99186991869918,46.09,0.0,,46.09,46.12,209039787.0,45.86,15984636.0,1716.0,moderate,42,28.3,JAMMU & KASHMIR,Kathua
01_08,285297073,15239609795524.598,5868343821833.283,29.998539861502042,1,8,71.63461538461539,38.51,0.0,,38.51,37.15,260490391.0,48.1,24806682.0,1786.0,moderate,85,35.2,JAMMU & KASHMIR,Baramula
01_09,70907434,3440819538419.6665,1297537395399.2048,26.809424300148113,1,9,66.66666666666666,37.71,0.0,,37.71,37.82,60745788.0,37.07,10161646.0,1949.0,moderate,85,29.1,JAMMU & KASHMIR,Bandipore
01_10,200894952,19336739312482.78,9709359808997.37,39.29763750373726,1,10,2.13903743315508,50.21,68.05,251072.0,-17.84,21.22,15492317.0,51.04,185402635.0,862.0,distributed,47,19.5,JAMMU & KASHMIR,Srinagar
01_11,87690949,5448069708999.944,2084287856254.9514,30.972383113520678,1,11,79.13669064748201,38.26,0.0,,38.26,35.77,80621240.0,55.54,7069709.0,1143.0,distributed,84,18.7,JAMMU & KASHMIR,Ganderbal
01_12,128605548,12147545752411.758,5997937376427.233,37.5500837947817,1,12,70.83333333333334,49.38,0.0,,49.38,45.67,112728990.0,61.83,15876558.0,2765.0,concentrated,85,50.4,JAMMU & KASHMIR,Pulwama
01_13,50099689,5136606114953.5,1619545105962.075,25.650458278745635,1,13,83.78378378378379,31.53,68.05,123337.0,-36.52,30.97,47459113.0,42.12,2640576.0,1834.0,moderate,46,33.2,JAMMU & KASHMIR,Shupiyan
01_14,250027770,24720102886523.24,10464559621390.787,35.23825691148606,1,14,68.61826697892272,42.33,58.73,1569029.0,-16.4,42.33,224103641.0,42.38,25924129.0,1363.0,distributed,85,27.8,JAMMU & KASHMIR,Anantnag
01_15,102674201,10433458250243.3,4540052083616.528,34.91545678227336,1,15,82.99319727891157,43.51,0.0,,43.51,43.13,97057864.0,50.17,5616337.0,1233.0,distributed,85,23.5,JAMMU & KASHMIR,Kulgam
01_16,124756756,9464093551092.166,4784934091684.4,30.556252952119465,1,16,94.61538461538461,50.56,0.0,,50.56,51.52,118975801.0,39.38,5780955.0,3539.0,concentrated,85,57.1,JAMMU & KASHMIR,Doda
01_17,130257239,9936724575015.2,5408810646252.756,29.338996095743685,1,17,100.0,54.43,0.0,,54.43,54.43,130257239.0,,,2340.0,moderate,85,39.8,JAMMU & KASHMIR,Ramban
01_18,86518494,3980489979973.3037,1049290152139.8254,22.455012996987524,1,18,100.0,26.36,0.0,,26.36,26.36,86518494.0,,,2454.0,moderate,47,36.6,JAMMU & KASHMIR,Kishtwar
01_19,89571716,5938791091166.286,2662564865196.322,31.50461164525138,1,19,57.84313725490197,44.83,0.0,,44.83,27.91,49733872.0,53.18,39837844.0,983.0,distributed,85,21.9,JAMMU & KASHMIR,Udhampur
01_20,45400977,1934600048798.1665,425980495284.9122,26.173401585102056,1,20,100.0,22.02,0.0,,22.02,22.02,45400977.0,,,1570.0,moderate,14,25.9,JAMMU & KASHMIR,Reasi
