District,State,iceberg_index,surface_index,surprise_index,urban_pct,total_employment,Latitude,Longitude,Type
Andaman Islands,Andaman and Nicobar,45.900000000000006,52.325,-6.425,63.900862068965516,58245442.5,12.300357061510379,92.78607247189314,Polygon
Nicobar Islands,Andaman and Nicobar,61.18,66.81,-5.63,0.0,125798766.0,7.527112809427615,93.5986088439153,Polygon
Adilabad,Andhra Pradesh,27.51,0.0,27.51,86.98630136986301,409415156.0,19.25495585892584,78.9665886785475,Polygon
Anantapur,Andhra Pradesh,43.7,68.05,-24.35,88.0794701986755,462434493.0,14.476118640181276,77.57067053494902,Polygon
Chittoor,Andhra Pradesh,35.76,68.05,-32.29,72.36842105263158,590994265.0,13.457116445542898,79.00405571419907,Polygon
Cuddapah,Andhra Pradesh,26.29,68.05,-41.76,93.89312977099236,518994007.0,14.451551343892161,78.77410120093197,Polygon
East Godavari,Andhra Pradesh,33.63,57.3,-23.67,40.09216589861751,539501329.0,17.18503522236098,82.00095215602919,Polygon
Guntur,Andhra Pradesh,44.79,63.67,-18.88,43.40425531914894,480227700.0,16.2917961764043,80.08110973140224,Polygon
Hyderabad,Andhra Pradesh,62.07,68.05,-5.98,0.0,26822383.0,17.385632744928294,78.46413200446672,Polygon
Karimnagar,Andhra Pradesh,33.84,0.0,33.84,39.0625,358447304.0,18.546717605970983,79.23467558913563,Polygon
Khammam,Andhra Pradesh,33.69,0.0,33.69,46.0,257075829.0,17.591167659752763,80.67922887035763,Polygon
Krishna,Andhra Pradesh,40.83,64.4,-23.57,59.06432748538012,591896182.0,16.551225616638853,80.79258705025728,Polygon
Kurnool,Andhra Pradesh,44.31,66.95,-22.64,51.30890052356021,839885461.0,15.528542923916202,78.00002381957012,Polygon
Mahbubnagar,Andhra Pradesh,24.21,0.0,24.21,64.54545454545455,290393666.0,16.494246931987398,78.14037832874813,Polygon
Medak,Andhra Pradesh,20.06,68.05,-47.99,91.11111111111111,383025206.0,17.885180649189167,78.21092553332186,Polygon
Nalgonda,Andhra Pradesh,33.39,64.67,-31.28,72.16494845360825,607053792.0,17.06268623983737,79.28135924247565,Polygon
Nellore,Andhra Pradesh,37.85,61.73,-23.88,68.8,694159794.0,14.430857930266038,79.72271881798109,Polygon
Nizamabad,Andhra Pradesh,35.39,45.92,-10.53,66.18705035971223,771602377.0,18.52440245276085,78.13944783856951,Polygon
Prakasam,Andhra Pradesh,42.57,68.05,-25.48,74.2671009771987,883853980.0,15.612089805231864,79.50949185078564,Polygon
Rangareddi,Andhra Pradesh,54.77,67.58,-12.81,4.699093157460841,3008423926.0,17.28433513896967,78.17222465307046,Polygon
Srikakulam,Andhra Pradesh,37.66,68.05,-30.39,79.75460122699386,850114004.0,18.57162791182341,83.97957411330754,Polygon
Vishakhapatnam,Andhra Pradesh,47.64,66.97,-19.33,7.169811320754717,586803434.0,17.885327368966486,82.68196091765326,Polygon
Vizianagaram,Andhra Pradesh,42.15,0.0,42.15,75.10373443983403,585644412.0,18.466226832915154,83.36399469101387,Polygon
Warangal,Andhra Pradesh,34.9,51.037499999999994,-16.1375,74.97226465880983,310023275.25,17.950679236996937,79.7919027786629,Polygon
West Godavari,Andhra Pradesh,35.44,68.05,-32.61,59.12698412698413,702247186.0,16.88743634216075,81.39214914817907,Polygon
Changlang,Arunachal Pradesh,39.39,0.0,39.39,89.30348258706468,59574593.0,27.37781275553173,96.35717446755629,Polygon
East Kameng,Arunachal Pradesh,41.41,0.0,41.41,66.77631578947368,42460908.0,27.294598865613207,93.0320514073148,Polygon
East Siang,Arunachal Pradesh,41.56,45.92,-4.36,84.86055776892431,40212624.0,28.118448180299563,95.16317347652573,Polygon
Kurung Kumey,Arunachal Pradesh,46.25,0.0,46.25,94.05405405405406,29810182.0,28.03839680321419,93.31778359240599,Polygon
Lohit,Arunachal Pradesh,40.41,0.0,40.41,77.59562841530054,26055469.0,27.98910220451729,96.59122836615444,Polygon
Lower Dibang Valley,Arunachal Pradesh,36.98,0.0,36.98,86.90476190476191,42527600.0,28.364471588972766,95.8177986419741,Polygon
Lower Subansiri,Arunachal Pradesh,52.26,0.0,52.26,71.76470588235294,10601977.0,27.671413746796535,93.87240120574066,Polygon
Papum Pare,Arunachal Pradesh,51.22,45.92,5.3,40.45226130653266,41201866.0,27.274999314495673,93.5882567536683,Polygon
Tawang,Arunachal Pradesh,34.33,0.0,34.33,88.1578947368421,15257624.0,27.656373588953976,91.9142430033553,Polygon
Tirap,Arunachal Pradesh,38.6,0.0,38.6,58.666666666666664,19780752.0,26.955193951084045,95.45151939302427,Polygon
Upper Dibang Valley,Arunachal Pradesh,41.59,0.0,41.59,100.0,7810759.0,28.955706905181692,95.94275331941263,Polygon
Upper Siang,Arunachal Pradesh,47.12,0.0,47.12,48.66666666666667,17473564.0,28.829314422087638,94.90773676627835,Polygon
Upper Subansiri,Arunachal Pradesh,39.4,0.0,39.4,84.02777777777779,22659547.0,28.292452221972493,93.93196691952636,Polygon
West Kameng,Arunachal Pradesh,40.24,0.0,40.24,51.63043478260869,21809719.0,27.434355747432424,92.5142776922157,Polygon
West Siang,Arunachal Pradesh,49.19,0.0,49.19,20.80536912751678,14607794.0,28.316153544915455,94.50783797109568,Polygon
Barpeta,Assam,31.58,0.0,31.58,81.11587982832617,417314511.0,26.439206668601216,91.02574972337665,Polygon
Bongaigaon,Assam,39.93,0.0,39.93,59.82142857142857,232973200.0,26.490213783909415,90.64644780669735,Polygon
Cachar,Assam,40.48,0.0,40.48,72.82608695652173,566954695.0,24.81419422687327,92.85745309234757,Polygon
Darrang,Assam,32.38,0.0,32.38,89.51612903225806,206726726.0,26.60661431057555,92.02646265755838,Polygon
Dhemaji,Assam,33.96,0.0,33.96,86.8421052631579,292734414.0,27.59064004202367,94.78060068056794,Polygon
Dhuburi,Assam,26.06,0.0,26.06,82.6086956521739,611606416.0,26.101987029850015,90.02918032478568,Polygon
Dibrugarh,Assam,30.28,0.0,30.28,72.13541666666666,618621053.0,27.371686704782707,95.05491494529298,Polygon
Goalpara,Assam,28.7,0.0,28.7,70.0,128843536.0,26.048093794771475,90.60864936509348,Polygon
Golaghat,Assam,53.14,0.0,53.14,76.27906976744187,383231958.0,26.479679556471226,93.83673195130093,Polygon
Hailakandi,Assam,39.81,0.0,39.81,88.11881188118812,211411597.0,24.496869294090317,92.58907203704966,Polygon
Jorhat,Assam,42.35,0.0,42.35,62.857142857142854,243886640.0,26.795635897768804,94.27419965566563,Polygon
Kamrup,Assam,43.71,0.0,43.71,85.21739130434783,636982272.0,26.136019881466098,91.53552984653047,Polygon
Karbi Anglong,Assam,33.17,0.0,33.17,91.42857142857144,435818414.0,26.069285697241142,93.14809099854413,Polygon
Karimganj,Assam,40.77,0.0,40.77,81.10236220472441,421395809.0,24.57910477464057,92.380852178888,Polygon
Kokrajhar,Assam,30.61,58.73,-28.12,83.6734693877551,352668128.0,26.583466402009737,90.19674881953183,Polygon
Lakhimpur,Assam,38.26,0.0,38.26,87.6923076923077,308576057.0,27.17462143124293,94.13516801614485,Polygon
Marigaon,Assam,35.7,0.0,35.7,91.6030534351145,280621059.0,26.2858573513458,92.28022526758399,Polygon
Nagaon,Assam,44.56,0.0,44.56,76.3586956521739,654784235.0,26.226247554885067,92.84157400728849,Polygon
Nalbari,Assam,47.29,0.0,47.29,100.0,181997950.0,26.530373810367664,91.43519090888657,Polygon
North Cachar Hills,Assam,30.07,0.0,30.07,72.91666666666666,79736487.0,25.380568622608372,93.03389443447082,Polygon
Sibsagar,Assam,45.75,0.0,45.75,92.9203539823009,220275523.5,27.012476583064622,94.81936994268125,Polygon
Sonitpur,Assam,35.34,0.0,35.34,82.5136612021858,399360936.0,26.782767465406973,92.92746295654722,Polygon
Tinsukia,Assam,33.0,68.05,-35.05,70.87155963302753,815052115.0,27.58479155696711,95.62554151995805,Polygon
Araria,Bihar,26.74,45.92,-19.18,94.9438202247191,931583216.0,26.201031333820662,87.34621999231246,Polygon
Aurangabad,Bihar,38.72,34.025,4.695,60.70872274143302,863732085.0,24.79391563696608,84.40457603162719,Polygon
Banka,Bihar,21.33,0.0,21.33,100.0,592016621.0,24.85217768493082,86.83424900162731,Polygon
Begusarai,Bihar,28.12,0.0,28.12,46.206896551724135,411126860.0,25.495752175359566,86.12356662540618,Polygon
Bhabua,Bihar,26.28,0.0,26.28,93.25842696629212,395942580.0,24.99329245036366,83.5985582146513,Polygon
Bhagalpur,Bihar,26.28,0.0,26.28,52.976190476190474,545245135.0,25.26936508196716,87.07727983879037,Polygon
Bhojpur,Bihar,32.24,0.0,32.24,65.91928251121077,884977600.0,25.470659889346148,84.53560526683282,Polygon
Buxar,Bihar,31.53,0.0,31.53,100.0,423522793.0,25.49329684058241,84.0935619391756,Polygon
Darbhanga,Bihar,34.25,62.99,-28.74,80.76923076923077,636689517.0,26.11487228527661,86.01732271402271,Polygon
Gaya,Bihar,40.57,0.0,40.57,33.83084577114428,425103637.0,24.69912132357315,84.92853762024644,Polygon
Gopalganj,Bihar,41.06,0.0,41.06,91.33858267716536,562789603.0,26.445186770271032,84.36817886439924,Polygon
Jamui,Bihar,31.9,45.92,-14.02,66.07142857142857,663189245.0,24.785831096791988,86.28845339251785,Polygon
Jehanabad,Bihar,30.15,0.0,30.15,100.0,282020116.0,25.15896861198711,84.88103079131614,Polygon
Katihar,Bihar,27.71,0.0,27.71,79.8076923076923,1011520982.0,25.54536276628129,87.63893728589689,Polygon
Khagaria,Bihar,18.67,0.0,18.67,92.36111111111111,695083684.0,25.512392367543022,86.59617370485954,Polygon
