State,District,Latitude,Longitude,District code,Population,Male,Female,Households_with_Internet,Housholds_with_Electric_Lighting,Workers,Rural_Households,Urban_Households,Agricultural_Workers,LPG_or_PNG_Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Household_size_1_to_2_persons,Household_size_3_to_5_persons_Households,Household_size_6_8_persons_Households,Total_Power_Parity,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,5512,566108,1323667,597466,220248,484912,194954,1536378,704551,422522,107798,417387,114585,4181,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,8606,897970,2036166,902997,341431,879537,223016,2189396,1104565,739612,143093,644263,153243,5799,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,13763,944555,1933357,907970,395900,748093,324406,2148179,1159053,807430,187320,678054,142837,5926,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,22411,1297273,2093681,1199479,406362,1122046,479914,2724328,1478954,948122,335006,952492,112434,7211,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,19383,1186028,2381624,1069877,513113,1227956,648568,2583462,1371811,928462,295615,842985,139120,6981,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,149034,869721,1413297,0,1066289,23029,581509,2249130,1068243,542669,110910,546260,181806,11071,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,8831,926768,1876768,877236,288044,756859,344667,1940234,1031735,728494,201672,649211,120450,5251,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,8628,668519,1410062,669262,201363,804537,219710,1530602,774583,477955,159883,512966,69643,3836,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,30438,1163932,2048880,909292,567042,1006976,632890,2340943,1284630,833959,299154,824868,95350,6983,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,10081,816721,2029425,783853,306982,1037302,195001,2368684,1053618,609027,116088,547505,181675,5301,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,6153,757821,2082501,848963,161052,931084,136843,2360874,1027525,637430,105279,541398,191259,4695,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,8635,604719,1442203,593653,195479,571129,163074,1735769,779738,509368,84875,419073,140018,3874,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,7715,789225,1741693,833504,197433,863131,228818,1932349,897137,651748,165334,578886,119437,4468,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,5261,545913,1261076,565165,155133,448281,186740,1399773,676401,437573,90591,379595,107972,3458,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,6151,763746,1700567,873486,214089,889218,290947,1832695,917391,641707,181210,548015,115932,4304,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,3988,615432,1290288,752752,149684,700833,149554,1423119,747385,528736,129328,464451,85869,3301,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,4453,527736,1157962,592458,157056,557254,140361,1206366,666394,451469,105327,403386,80085,3103,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,12952,828077,1705655,758738,288249,758092,237349,1891954,941452,664872,168039,593070,117016,4762,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,12050,1017568,1773112,1007255,248373,1061787,435334,2051513,1127764,755533,263697,724609,82492,5485,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,170,14593,62966,33422,6498,4208,4762,96630,35018,16414,3559,13892,8962,348,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,57,5318,31710,14503,5215,1063,3583,53752,17922,6960,1562,6187,5600,348,103.0,49.0
